,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,YearsInCurrentRole,YearsSinceLastPromotion
230,No,52,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Laboratory Technician,4,Single,3212,7,No,15,2,2
231,No,42,Travel_Rarely,Research & Development,4,2,Technical Degree,Male,Manager,4,Married,19232,1,No,11,17,11
232,No,59,Travel_Rarely,Human Resources,6,2,Medical,Male,Human Resources,3,Married,2267,8,No,17,2,2
233,No,50,Travel_Rarely,Sales,1,4,Medical,Female,Manager,4,Divorced,19517,3,No,11,0,0
234,Yes,33,Travel_Rarely,Research & Development,14,3,Medical,Male,Laboratory Technician,4,Married,2436,5,Yes,13,4,0
235,No,43,Travel_Rarely,Sales,16,3,Marketing,Female,Manager,4,Married,16064,5,Yes,22,13,1
236,Yes,33,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,7,No,20,7,1
237,No,52,Non-Travel,Sales,2,4,Life Sciences,Male,Manager,3,Single,19068,1,Yes,18,7,15
238,No,32,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Representative,2,Married,3931,2,No,11,3,1
239,Yes,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,3,Single,3730,0,Yes,14,2,1
240,No,39,Travel_Rarely,Research & Development,1,4,Medical,Female,Laboratory Technician,3,Divorced,2232,7,No,14,2,1
241,No,32,Non-Travel,Sales,26,4,Marketing,Male,Sales Executive,4,Married,4465,0,No,18,2,2
242,No,41,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,Research Scientist,1,Divorced,3072,2,No,16,0,0
243,No,40,Travel_Rarely,Research & Development,24,2,Technical Degree,Male,Research Scientist,4,Divorced,3319,1,No,17,8,4
244,No,45,Travel_Rarely,Research & Development,1,3,Other,Male,Manager,4,Married,19202,0,No,11,0,1
245,No,31,Travel_Frequently,Research & Development,3,4,Medical,Male,Research Director,3,Divorced,13675,9,No,12,2,2
246,No,33,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,Research Scientist,4,Married,2911,1,No,13,2,0
247,No,34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,1,Married,5957,6,No,13,9,5
248,No,37,Travel_Rarely,Research & Development,1,2,Medical,Female,Research Scientist,1,Married,3920,2,No,14,1,0
249,No,45,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,Manufacturing Director,3,Married,6434,4,No,17,2,0
250,Yes,37,Travel_Frequently,Research & Development,10,3,Medical,Male,Manufacturing Director,3,Divorced,10048,6,No,11,0,0
251,No,39,Travel_Frequently,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,3,Single,10938,0,No,25,6,11
252,No,29,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,Research Scientist,4,Single,2340,1,No,19,5,1
253,No,42,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,Research Scientist,1,Single,6545,3,Yes,13,2,0
254,No,29,Travel_Rarely,Sales,20,2,Marketing,Male,Sales Executive,4,Divorced,6931,2,No,14,2,0
255,No,25,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,3,Married,4898,0,No,12,2,1
256,No,42,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,1,Divorced,2593,0,Yes,11,6,7
257,No,40,Travel_Rarely,Research & Development,2,2,Medical,Male,Research Director,3,Divorced,19436,0,No,19,7,3
258,No,51,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,Research Scientist,4,Married,2723,1,No,11,0,0
259,Yes,31,Travel_Frequently,Research & Development,29,2,Medical,Male,Laboratory Technician,2,Single,3479,0,No,11,4,1
260,No,32,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,2,Married,2794,1,No,20,1,0
261,No,38,Non-Travel,Sales,2,2,Life Sciences,Male,Sales Executive,4,Married,5249,3,No,18,7,7
262,No,32,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,1,Single,2176,4,No,13,2,0
263,No,46,Travel_Rarely,Sales,2,3,Technical Degree,Female,Manager,2,Married,16872,3,Yes,12,7,7
264,Yes,28,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Laboratory Technician,3,Single,3485,2,No,11,0,0
265,No,29,Travel_Rarely,Sales,2,3,Medical,Male,Sales Executive,2,Married,6644,2,No,19,0,0
266,No,31,Travel_Rarely,Research & Development,23,3,Medical,Male,Healthcare Representative,4,Married,5582,0,No,21,0,7
267,No,25,Non-Travel,Research & Development,5,2,Life Sciences,Male,Healthcare Representative,1,Divorced,4000,1,No,12,3,1
268,No,45,Travel_Rarely,Research & Development,20,2,Medical,Male,Healthcare Representative,4,Married,13496,0,Yes,14,7,4
269,No,36,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,4,Married,3210,0,No,11,13,10
270,No,55,Travel_Rarely,Research & Development,1,3,Medical,Male,Manager,1,Single,19045,0,Yes,14,10,4
271,Yes,47,Non-Travel,Research & Development,29,4,Life Sciences,Male,Manager,2,Married,11849,1,Yes,12,7,9
272,No,28,Travel_Rarely,Research & Development,9,3,Medical,Male,Research Scientist,4,Married,2070,1,No,23,2,0
273,No,37,Travel_Rarely,Sales,6,4,Medical,Male,Sales Executive,4,Married,6502,4,No,14,4,0
274,No,21,Travel_Rarely,Research & Development,3,2,Medical,Male,Research Scientist,3,Single,3230,1,No,17,2,1
275,No,37,Non-Travel,Research & Development,1,4,Medical,Female,Research Director,4,Divorced,13603,2,Yes,18,2,0
276,No,35,Travel_Rarely,Research & Development,22,3,Life Sciences,Female,Manager,2,Divorced,11996,7,No,18,7,6
277,No,38,Travel_Rarely,Sales,7,2,Medical,Female,Sales Executive,1,Divorced,5605,1,Yes,24,0,7
278,No,26,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,2,Divorced,6397,1,No,20,5,1
279,No,50,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,Research Director,2,Divorced,19144,3,No,14,4,1
280,No,53,Travel_Rarely,Research & Development,3,4,Medical,Male,Research Director,3,Married,17584,3,Yes,16,3,1
281,No,42,Travel_Rarely,Sales,1,1,Life Sciences,Male,Sales Executive,3,Married,4907,1,No,25,16,11
282,No,29,Travel_Frequently,Sales,2,2,Life Sciences,Male,Sales Executive,4,Single,4554,1,No,18,7,0
283,No,55,Travel_Rarely,Research & Development,20,2,Technical Degree,Male,Laboratory Technician,4,Married,5415,3,Yes,19,7,0
284,No,26,Travel_Frequently,Research & Development,11,2,Medical,Male,Healthcare Representative,1,Married,4741,1,Yes,13,3,3
285,No,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,Research Scientist,4,Single,2115,1,No,12,12,5
286,Yes,44,Travel_Frequently,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,3,Divorced,3161,3,Yes,22,0,0
287,No,38,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,Healthcare Representative,4,Divorced,5745,9,No,14,2,1
288,Yes,26,Travel_Rarely,Research & Development,16,4,Medical,Male,Laboratory Technician,2,Divorced,2373,2,Yes,13,2,0
289,No,28,Travel_Rarely,Research & Development,8,2,Life Sciences,Female,Research Scientist,4,Single,3310,1,No,21,3,0
290,No,49,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Research Director,1,Single,18665,9,Yes,11,2,1
291,No,36,Travel_Rarely,Research & Development,3,3,Technical Degree,Male,Research Scientist,2,Single,4485,4,No,12,0,7
292,No,31,Travel_Frequently,Sales,5,3,Marketing,Female,Sales Representative,2,Divorced,2789,1,No,11,2,2
293,Yes,26,Travel_Rarely,Sales,4,4,Marketing,Male,Sales Executive,4,Single,5828,1,Yes,12,7,7
294,No,37,Travel_Frequently,Research & Development,9,3,Medical,Male,Research Scientist,4,Married,2326,1,Yes,12,2,1
295,No,42,Travel_Frequently,Sales,26,3,Marketing,Female,Sales Executive,2,Married,13525,5,No,14,4,4
296,Yes,18,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,3,Single,1420,1,No,13,0,0
297,No,35,Travel_Rarely,Sales,16,3,Marketing,Male,Sales Executive,2,Married,8020,0,No,15,9,6
298,No,36,Travel_Frequently,Research & Development,18,4,Life Sciences,Male,Laboratory Technician,4,Married,3688,4,No,18,0,0
299,No,51,Travel_Rarely,Research & Development,2,3,Medical,Male,Manufacturing Director,2,Divorced,5482,5,No,18,1,1
300,No,41,Travel_Rarely,Sales,2,4,Life Sciences,Male,Manager,2,Single,16015,1,No,19,10,0
301,No,18,Travel_Rarely,Sales,10,3,Medical,Female,Sales Representative,3,Single,1200,1,No,12,0,0
302,No,28,Travel_Rarely,Research & Development,16,2,Medical,Male,Healthcare Representative,1,Single,5661,0,No,19,3,0
303,No,31,Travel_Rarely,Sales,7,3,Technical Degree,Male,Sales Executive,4,Married,6929,4,No,11,7,7
304,No,39,Travel_Rarely,Research & Development,1,3,Medical,Male,Healthcare Representative,4,Divorced,9613,0,No,17,10,3
305,No,36,Non-Travel,Research & Development,24,4,Life Sciences,Female,Laboratory Technician,2,Married,5674,7,No,15,8,0
306,No,32,Travel_Rarely,Sales,7,3,Life Sciences,Male,Sales Executive,3,Married,5484,1,No,14,8,4
307,No,38,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,Research Director,2,Married,12061,3,No,17,8,0
308,No,58,Non-Travel,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,3,Divorced,5660,2,Yes,13,3,1
309,No,31,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Research Scientist,4,Married,4821,0,Yes,12,2,0
310,No,31,Travel_Rarely,Human Resources,2,3,Human Resources,Male,Human Resources,1,Married,6410,3,No,12,2,1
311,No,45,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,1,Divorced,5210,1,No,18,9,9
312,No,31,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Research Scientist,4,Divorced,2695,0,Yes,18,2,2
313,No,33,Travel_Frequently,Research & Development,5,4,Life Sciences,Female,Manager,2,Married,11878,6,No,11,6,8
314,No,39,Travel_Rarely,Research & Development,10,1,Medical,Male,Manager,1,Married,17068,1,Yes,14,9,11
315,No,43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,4,Single,2455,0,No,19,7,1
316,No,49,Travel_Rarely,Research & Development,1,2,Technical Degree,Female,Healthcare Representative,3,Single,13964,7,Yes,12,1,0
317,Yes,52,Travel_Rarely,Research & Development,8,4,Medical,Male,Research Scientist,2,Married,4941,2,No,15,2,7
318,No,27,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,Research Scientist,2,Single,2478,1,Yes,12,3,1
319,No,32,Travel_Rarely,Sales,8,2,Technical Degree,Female,Sales Executive,2,Married,5228,1,Yes,11,12,11
320,No,27,Travel_Rarely,Sales,2,3,Life Sciences,Male,Sales Executive,3,Single,4478,1,Yes,11,4,0
321,No,31,Travel_Rarely,Sales,7,3,Marketing,Male,Sales Executive,4,Divorced,7547,4,No,12,7,1
322,No,32,Travel_Rarely,Research & Development,2,4,Medical,Female,Research Scientist,4,Single,5055,7,No,16,7,0
323,Yes,28,Travel_Rarely,Research & Development,2,4,Medical,Male,Research Scientist,4,Married,3464,5,Yes,13,2,2
324,No,30,Travel_Rarely,Research & Development,28,2,Medical,Female,Research Scientist,4,Married,5775,1,No,13,8,1
325,No,31,Travel_Frequently,Research & Development,7,2,Life Sciences,Female,Manufacturing Director,3,Married,8943,1,No,24,9,8
326,No,39,Travel_Frequently,Research & Development,7,2,Medical,Male,Manager,4,Married,19272,1,No,15,9,13
327,Yes,39,Travel_Rarely,Sales,3,2,Medical,Female,Sales Executive,3,Married,5238,4,Yes,18,0,0
328,No,33,Travel_Frequently,Sales,10,3,Marketing,Male,Sales Executive,4,Single,4682,3,No,14,7,0
329,No,47,Travel_Rarely,Research & Development,5,5,Life Sciences,Male,Research Director,3,Married,18300,4,No,11,2,1
330,No,43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,3,Divorced,5257,1,No,11,7,0
331,No,27,Non-Travel,Sales,1,1,Marketing,Male,Sales Executive,2,Married,6349,0,Yes,13,4,1
332,No,54,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,Research Scientist,3,Single,4869,3,No,12,3,0
333,No,43,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,Healthcare Representative,1,Married,9985,8,No,16,0,0
334,No,45,Travel_Rarely,Research & Development,8,4,Other,Male,Research Scientist,4,Married,3697,9,No,14,9,9
335,No,40,Travel_Rarely,Sales,1,2,Medical,Male,Sales Executive,4,Married,7457,2,Yes,22,3,0
336,Yes,29,Travel_Rarely,Research & Development,8,4,Other,Male,Laboratory Technician,1,Married,2119,1,Yes,11,7,0
337,No,29,Travel_Rarely,Research & Development,9,5,Other,Male,Laboratory Technician,4,Single,3983,0,No,17,2,2
338,No,30,Travel_Rarely,Sales,5,3,Marketing,Female,Sales Executive,3,Divorced,6118,1,No,13,9,1
339,No,27,Travel_Rarely,Sales,8,4,Marketing,Female,Sales Executive,2,Married,6214,1,No,18,7,0
340,No,37,Travel_Rarely,Research & Development,5,2,Medical,Male,Manufacturing Director,4,Divorced,6347,7,No,16,2,0
341,No,38,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,Research Director,4,Divorced,11510,0,Yes,14,10,2
342,No,31,Travel_Rarely,Research & Development,7,4,Medical,Female,Manufacturing Director,4,Single,7143,1,Yes,14,9,4
343,No,29,Travel_Rarely,Sales,10,1,Marketing,Female,Sales Executive,2,Divorced,8268,1,Yes,14,7,1
344,No,35,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,Manufacturing Director,2,Single,8095,0,No,13,6,0
345,No,23,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,Research Scientist,4,Divorced,2904,1,No,12,2,0
346,No,41,Travel_Rarely,Research & Development,6,3,Medical,Male,Manufacturing Director,2,Single,6032,6,Yes,15,4,1
347,No,47,Travel_Frequently,Sales,4,1,Medical,Male,Sales Representative,3,Single,2976,3,No,19,0,0
348,No,42,Travel_Rarely,Research & Development,23,5,Life Sciences,Female,Research Director,4,Single,15992,2,No,14,0,0
349,No,29,Non-Travel,Sales,2,3,Life Sciences,Male,Sales Executive,3,Married,4649,1,No,14,3,0
350,No,42,Travel_Rarely,Human Resources,2,1,Technical Degree,Male,Human Resources,3,Divorced,2696,0,Yes,11,2,1
351,No,32,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Married,2370,1,No,13,0,0
352,No,48,Travel_Rarely,Sales,29,1,Medical,Female,Manager,3,Married,12504,3,No,21,0,0
353,No,37,Travel_Rarely,Research & Development,6,3,Medical,Male,Research Scientist,1,Divorced,5974,4,Yes,13,7,6
354,No,30,Non-Travel,Sales,25,2,Technical Degree,Female,Sales Executive,3,Married,4736,7,Yes,12,2,2
355,No,26,Travel_Rarely,Sales,1,3,Life Sciences,Male,Sales Executive,3,Married,5296,1,No,17,7,7
356,No,42,Travel_Rarely,Research & Development,2,4,Other,Male,Healthcare Representative,4,Single,6781,3,No,23,0,0
357,Yes,21,Travel_Frequently,Sales,1,1,Technical Degree,Female,Sales Representative,2,Single,2174,1,Yes,11,2,1
358,No,36,Non-Travel,Sales,1,5,Medical,Female,Sales Executive,4,Single,6653,4,No,15,0,0
359,No,36,Travel_Frequently,Sales,3,4,Medical,Male,Sales Executive,4,Married,9699,4,No,11,9,1
360,No,57,Travel_Rarely,Research & Development,1,4,Medical,Male,Healthcare Representative,3,Married,6755,2,No,11,2,1
361,No,40,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,3,Married,2213,3,Yes,13,7,1
362,No,21,Non-Travel,Sales,9,2,Medical,Male,Sales Representative,4,Single,2610,1,No,24,2,2
363,Yes,33,Travel_Rarely,Sales,5,3,Marketing,Female,Sales Representative,3,Single,2851,1,Yes,13,0,0
364,No,37,Travel_Rarely,Research & Development,10,3,Medical,Female,Laboratory Technician,1,Married,3452,6,No,20,4,0
365,No,46,Non-Travel,Research & Development,7,4,Medical,Female,Manufacturing Director,3,Married,5258,2,No,14,0,0
366,Yes,41,Travel_Frequently,Sales,4,3,Marketing,Male,Sales Executive,2,Single,9355,1,No,18,7,7
367,No,50,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,Healthcare Representative,4,Single,10496,6,No,15,3,1
368,Yes,40,Travel_Rarely,Sales,22,2,Marketing,Male,Sales Executive,3,Married,6380,2,Yes,12,4,1
369,No,31,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Research Scientist,2,Single,2657,0,Yes,16,2,2
370,Yes,21,Travel_Rarely,Sales,12,3,Life Sciences,Female,Sales Representative,2,Single,2716,1,No,15,0,0
371,No,29,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,Research Scientist,4,Single,2201,9,No,16,2,1
372,No,35,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,Healthcare Representative,2,Single,6540,9,No,19,1,0
373,No,27,Travel_Rarely,Research & Development,1,2,Medical,Male,Laboratory Technician,2,Divorced,3816,1,No,11,2,0
374,No,28,Travel_Rarely,Sales,9,4,Life Sciences,Male,Sales Executive,4,Single,5253,1,No,16,5,0
375,No,49,Travel_Rarely,Research & Development,7,3,Other,Male,Healthcare Representative,3,Single,10965,8,No,24,2,0
376,No,51,Travel_Rarely,Sales,14,2,Life Sciences,Female,Sales Executive,4,Married,4936,4,No,11,7,0
377,No,36,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Research Scientist,3,Married,2543,4,No,13,2,2
378,Yes,34,Non-Travel,Sales,19,3,Marketing,Male,Sales Executive,4,Single,5304,8,Yes,13,2,0
379,No,55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Manager,4,Single,16659,2,Yes,13,4,1
380,No,24,Travel_Rarely,Sales,10,4,Marketing,Female,Sales Executive,3,Divorced,4260,1,Yes,12,2,0
381,No,30,Travel_Rarely,Sales,2,1,Technical Degree,Male,Sales Representative,2,Married,2476,1,No,18,0,0
382,Yes,26,Travel_Frequently,Research & Development,3,1,Technical Degree,Male,Research Scientist,1,Single,3102,0,No,22,4,0
383,No,22,Travel_Rarely,Research & Development,11,3,Medical,Female,Research Scientist,2,Married,2244,1,No,13,1,1
384,No,36,Travel_Rarely,Sales,2,2,Medical,Male,Sales Executive,3,Married,7596,1,No,13,9,9
385,Yes,30,Travel_Frequently,Research & Development,4,3,Technical Degree,Male,Research Scientist,4,Single,2285,9,Yes,23,0,0
386,No,37,Travel_Rarely,Research & Development,14,3,Life Sciences,Female,Laboratory Technician,1,Divorced,3034,1,No,12,7,12
387,No,40,Travel_Rarely,Sales,2,2,Marketing,Female,Sales Executive,2,Divorced,5715,7,No,12,4,1
388,No,42,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2576,3,No,16,2,1
389,No,37,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,Manufacturing Director,2,Single,4197,2,Yes,12,0,0
390,No,43,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,Research Director,2,Divorced,14336,1,No,11,10,3
391,No,40,Travel_Rarely,Research & Development,2,3,Medical,Female,Laboratory Technician,3,Married,3448,6,No,22,0,0
392,No,54,Travel_Rarely,Research & Development,5,2,Medical,Male,Research Director,1,Married,19406,4,No,11,2,1
393,No,34,Non-Travel,Sales,4,4,Marketing,Female,Sales Executive,3,Married,6538,9,No,15,2,1
394,No,31,Travel_Rarely,Research & Development,7,2,Medical,Female,Manufacturing Director,1,Married,4306,1,No,12,10,3
395,No,43,Travel_Frequently,Research & Development,21,3,Medical,Male,Laboratory Technician,4,Married,2258,7,No,20,2,1
396,No,43,Travel_Rarely,Research & Development,8,4,Other,Female,Healthcare Representative,3,Divorced,4522,4,Yes,14,2,0
397,No,25,Travel_Rarely,Sales,4,2,Life Sciences,Female,Sales Executive,4,Single,4487,1,Yes,11,4,1
398,No,37,Non-Travel,Research & Development,25,5,Medical,Female,Research Scientist,3,Married,4449,3,Yes,15,11,10
399,No,31,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,1,Married,2218,1,No,12,2,3
400,No,39,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,Manager,3,Divorced,19197,1,Yes,14,8,1
401,No,56,Travel_Frequently,Sales,6,3,Life Sciences,Female,Sales Executive,1,Married,13212,9,No,11,7,7
402,No,30,Travel_Rarely,Sales,12,3,Technical Degree,Female,Sales Executive,3,Single,6577,0,No,11,4,4
403,No,41,Travel_Rarely,Sales,1,3,Marketing,Male,Sales Executive,1,Married,8392,1,No,16,7,0
404,No,28,Travel_Rarely,Research & Development,17,2,Medical,Male,Laboratory Technician,1,Divorced,4558,1,No,12,0,1
405,Yes,25,Travel_Rarely,Research & Development,3,3,Medical,Male,Laboratory Technician,1,Married,4031,5,No,13,2,0
406,No,52,Travel_Rarely,Research & Development,3,3,Medical,Male,Manufacturing Director,3,Married,7969,2,Yes,14,4,0
407,No,45,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,Research Scientist,4,Married,2654,3,No,21,2,0
408,No,52,Travel_Rarely,Research & Development,4,2,Life Sciences,Female,Manager,4,Married,16555,2,No,13,2,1
409,No,42,Travel_Frequently,Research & Development,29,2,Life Sciences,Female,Research Scientist,3,Divorced,4556,2,No,11,4,0
410,No,30,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,Manufacturing Director,4,Single,6091,2,No,20,4,0
411,No,60,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,Manager,1,Married,19566,5,No,11,8,11
412,No,46,Travel_Rarely,Research & Development,18,3,Medical,Female,Manufacturing Director,3,Divorced,4810,2,No,14,7,0
413,No,42,Travel_Frequently,Research & Development,28,4,Technical Degree,Female,Healthcare Representative,4,Married,4523,0,No,11,5,0
414,Yes,24,Travel_Rarely,Sales,1,1,Technical Degree,Female,Sales Representative,2,Single,3202,1,Yes,16,3,1
415,Yes,34,Travel_Frequently,Sales,6,2,Marketing,Female,Sales Representative,3,Divorced,2351,0,No,16,2,1
416,No,38,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,4,Married,1702,1,Yes,23,0,0
417,No,40,Travel_Rarely,Sales,2,4,Life Sciences,Female,Manager,3,Married,18041,0,No,14,15,1
418,No,26,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,Research Scientist,4,Divorced,2886,1,No,22,2,0
419,No,30,Non-Travel,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,4,Married,2097,4,No,15,3,1
420,No,29,Travel_Rarely,Research & Development,3,4,Medical,Male,Research Director,3,Married,11935,1,No,18,2,0
421,Yes,29,Travel_Rarely,Research & Development,25,5,Technical Degree,Female,Research Scientist,2,Married,2546,5,No,16,2,1
422,Yes,19,Travel_Rarely,Human Resources,2,2,Technical Degree,Male,Human Resources,4,Single,2564,1,No,12,0,0
423,No,30,Non-Travel,Sales,22,4,Other,Female,Sales Executive,1,Married,8412,0,No,11,8,7
424,No,57,Travel_Rarely,Sales,29,3,Marketing,Male,Manager,4,Divorced,14118,3,No,12,0,0
425,No,50,Travel_Rarely,Research & Development,29,4,Life Sciences,Male,Manager,3,Married,17046,0,No,15,10,15
426,No,30,Non-Travel,Research & Development,2,3,Medical,Female,Laboratory Technician,4,Single,2564,0,No,14,7,6
427,No,60,Travel_Frequently,Sales,28,3,Marketing,Female,Sales Executive,1,Married,10266,4,No,19,13,13
428,No,47,Travel_Rarely,Research & Development,2,2,Medical,Female,Manufacturing Director,4,Divorced,5070,5,No,13,0,0
429,No,46,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,Research Director,3,Married,17861,6,No,13,2,0
430,No,35,Travel_Rarely,Research & Development,22,3,Life Sciences,Male,Laboratory Technician,3,Single,4230,0,No,15,4,4
431,No,54,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,Laboratory Technician,3,Single,3780,7,No,11,0,0
432,No,34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,Research Scientist,3,Divorced,2768,3,No,12,3,5
433,No,46,Travel_Rarely,Sales,10,3,Marketing,Female,Sales Executive,4,Married,9071,2,Yes,19,2,1
434,No,31,Travel_Rarely,Research & Development,9,1,Life Sciences,Male,Manufacturing Director,2,Divorced,10648,1,No,25,8,0
435,Yes,33,Travel_Rarely,Research & Development,15,1,Medical,Male,Manager,3,Married,13610,7,Yes,12,6,7
436,Yes,33,Travel_Rarely,Research & Development,10,1,Medical,Male,Laboratory Technician,4,Divorced,3408,7,No,13,3,1
437,No,30,Travel_Rarely,Sales,7,1,Marketing,Male,Sales Representative,2,Single,2983,0,No,14,2,1
438,No,35,Travel_Rarely,Research & Development,16,3,Life Sciences,Male,Healthcare Representative,3,Married,7632,4,Yes,12,7,0
439,Yes,31,Travel_Frequently,Research & Development,20,3,Life Sciences,Male,Healthcare Representative,3,Married,9824,3,No,12,0,0
440,Yes,34,Travel_Frequently,Human Resources,23,3,Human Resources,Female,Human Resources,1,Divorced,9950,9,Yes,15,2,0
441,No,42,Travel_Frequently,Research & Development,5,2,Other,Male,Laboratory Technician,3,Married,2093,4,No,17,2,2
442,No,36,Non-Travel,Sales,10,4,Medical,Male,Sales Executive,4,Single,9980,1,No,14,3,9
443,Yes,22,Travel_Frequently,Research & Development,4,1,Technical Degree,Male,Laboratory Technician,3,Single,3894,5,No,16,2,1
444,No,48,Travel_Rarely,Sales,2,5,Marketing,Female,Sales Executive,4,Married,4051,2,No,14,7,6
445,No,55,Travel_Rarely,Sales,18,5,Life Sciences,Female,Manager,2,Single,16835,3,No,23,9,7
446,No,41,Non-Travel,Sales,10,2,Life Sciences,Male,Sales Executive,4,Single,6230,7,No,14,3,1
447,No,35,Travel_Rarely,Sales,1,3,Marketing,Male,Sales Executive,3,Married,4717,9,No,11,9,6
448,No,40,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,Manufacturing Director,3,Single,13237,7,No,15,6,5
449,No,39,Travel_Frequently,Research & Development,8,1,Life Sciences,Female,Laboratory Technician,3,Married,3755,1,No,11,3,0
450,No,31,Travel_Rarely,Sales,2,1,Life Sciences,Male,Sales Executive,4,Single,6582,4,Yes,13,5,0
451,No,42,Travel_Rarely,Research & Development,24,3,Medical,Male,Manufacturing Director,1,Married,7406,1,Yes,21,9,5
452,No,45,Travel_Rarely,Sales,2,3,Other,Male,Sales Executive,2,Married,4805,0,No,19,7,3
453,Yes,26,Travel_Frequently,Human Resources,17,4,Life Sciences,Female,Human Resources,3,Divorced,2741,0,Yes,11,7,1
454,No,29,Travel_Rarely,Research & Development,19,3,Technical Degree,Male,Manufacturing Director,4,Divorced,4262,4,No,12,2,1
455,No,33,Travel_Rarely,Research & Development,1,5,Medical,Female,Research Director,3,Divorced,16184,4,No,19,1,0
456,No,31,Travel_Rarely,Sales,7,3,Life Sciences,Male,Manager,4,Divorced,11557,9,No,21,4,0
457,Yes,18,Travel_Frequently,Sales,5,3,Marketing,Male,Sales Representative,2,Single,1878,1,Yes,14,0,0
458,No,40,Non-Travel,Sales,28,3,Other,Male,Sales Executive,1,Divorced,10932,3,No,15,0,0
459,No,41,Non-Travel,Research & Development,2,4,Other,Female,Healthcare Representative,3,Single,6811,2,Yes,17,7,0
460,No,26,Travel_Rarely,Sales,29,2,Medical,Male,Sales Executive,3,Divorced,4306,5,No,12,0,0
461,No,35,Travel_Rarely,Sales,1,3,Medical,Female,Sales Executive,3,Single,4859,1,No,16,4,0
462,No,34,Travel_Rarely,Sales,21,4,Life Sciences,Male,Sales Executive,4,Single,5337,1,No,12,7,5
